X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1754858.0797,5913185.5278,416302,8439-96597e19,8439,YOUTH STREET,,STOP,-36.91464,174.73843,,BUS
1754809.4911,5913013.2802,416303,8441-0e2b8acf,8441,MOUNT ROSKILL FIRE STATION,,STOP,-36.9162,174.73792,,BUS
1754697.9063,5912611.3355,416304,8442-d8c0df96,8442,DOMINION ROAD/RICHARDSON ROAD,,STOP,-36.91984,174.73675,,BUS
1754673.3493,5912584.037,416305,8443-d3fed835,8443,DOMINION ROAD/RICHARDSON ROAD,,STOP,-36.92009,174.73648,,BUS
1754491.1196,5912216.6712,416306,8444-110b9c21,8444,BUDGEN STREET,,STOP,-36.92343,174.73451,,BUS
1754486.2218,5912192.3441,416307,8445-6b7c2345,8445,BUDGEN STREET,,STOP,-36.92365,174.73446,,BUS
1754605.5133,5911941.5715,416308,8446-ca017079,8446,GLASS ROAD,,STOP,-36.92589,174.73585,,BUS
1754535.0619,5911987.247,416309,8447-3370032a,8447,GLASS ROAD,,STOP,-36.92549,174.73505,,BUS
1754634.3691,5911715.7506,416310,8448-13838ac9,8448,GLENVEAGH DRIVE,,STOP,-36.92792,174.73622,,BUS
1754629.9138,5911764.6643,416311,8449-4ef496b0,8449,GLENVEAGH DRIVE,,STOP,-36.92748,174.73616,,BUS
1754564.4167,5911495.0583,416312,8450-22f69f79,8450,HILLSBOROUGH HEIGHTS VILLAGE,,STOP,-36.92992,174.73548,,BUS
1754542.6543,5911523.2002,416313,8451-793d4f7f,8451,HILLSBOROUGH HEIGHTS VILLAGE,,STOP,-36.92967,174.73523,,BUS
1751874.3174,5914222.6859,416314,8452-da22a3f6,8452,PINEWOOD STREET,,STOP,-36.90578,174.70474,,BUS
1751504.1314,5914154.9369,416315,8453-61dfb93f,8453,WOLVERTON STREET/BLOCKHOUSE BAY ROAD,,STOP,-36.90645,174.7006,,BUS
1752275.8099,5914246.5755,416316,8454-bcebeef5,8454,WHITNEY STREET,,STOP,-36.9055,174.70924,,BUS
1751497.6375,5914140.6252,416317,8456-4b6a8a25,8456,GLENAVON SURGERY,,STOP,-36.90658,174.70053,,BUS
1751169.0626,5913956.7005,416318,8457-dfa4dce9,8457,MIRANDA STREET,,STOP,-36.90829,174.69688,,BUS
1751378.7266,5914069.4973,416319,8458-e5e9cfb3,8458,LANSFORD CRESCENT,,STOP,-36.90724,174.69921,,BUS
1750870.1193,5913784.4454,416320,8459-e284241a,8459,OLYMPIC PARK,,STOP,-36.90989,174.69356,,BUS
1751218.3604,5913972.4703,416321,8460-aaccf95f,8460,MIRANDA STREET,,STOP,-36.90814,174.69743,,BUS
1750835.7523,5913756.2007,416322,8462-429226df,8462,OLYMPIC PARK,,STOP,-36.91015,174.69318,,BUS
1750607.7224,5913209.7847,416323,8465-0fb34dc6,8465,HILL CRESCENT,,STOP,-36.91511,174.69073,,BUS
1750913.9361,5912739.3426,416324,8466-68ba189e,8466,BLOCKHOUSE BAY INTERMEDIATE,,STOP,-36.9193,174.69426,,BUS
1751358.9049,5912756.9504,416325,8467-b8267b50,8467,ST DOMINIC'S SCHOOL,,STOP,-36.91907,174.69925,,BUS
1749941.2276,5915638.7076,416326,8468-9bab92dc,8468,RIVERSDALE RESERVE,,STOP,-36.89333,174.68277,,BUS
1751063.7105,5912743.339,416327,8469-e963c0d3,8469,65 BOLTON STREET,,STOP,-36.91924,174.69594,,BUS
1759051.4194,5913584.1787,416328,8470-258e8a8d,8470,HUAPAI STREET,,STOP,-36.91035,174.7854,,BUS
1750657.1704,5912882.6262,416329,8471-faeaaba7,8471,PORTAGE ROAD/BOLTON STREET,,STOP,-36.91805,174.69135,,BUS
1758914.0479,5913482.4228,416330,8472-02feb221,8472,ONEHUNGA MALL/CLARKE ROAD,,STOP,-36.91129,174.78388,,BUS
1759098.8877,5913596.6082,416331,8473-0dfd6c06,8473,HUAPAI STREET,,STOP,-36.91023,174.78593,,BUS
1758911.7473,5913454.7195,416332,8475-528e372a,8475,ONEHUNGA MALL/CLARKE ROAD,,STOP,-36.91154,174.78386,,BUS
1749618.4098,5915479.0361,416333,8476-47dc416a,8476,MAPLE STREET CORNER,,STOP,-36.89482,174.67918,,BUS
