OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
63985,9503,RTH,BAYVIEW TO BRITOMART (LOWER ALBERT ST),95B,BUS,17804.3922006714
63986,9504,RTH,BRITOMART (QUAY ST) TO BAYVIEW,95B,BUS,12975.957870232
63987,9506,RTH,BRITOMART (QUAY ST) TO BAYVIEW (FULL LOOP),95B,BUS,17727.2611048189
63988,9511,RTH,CONSTELLATION STATION TO BRITOMART (ALBERT ST) VIA GLENFIELD,95C,BUS,16045.1679167324
63989,9512,RTH,BRITOMART (QUAY ST) TO CONSTELLATION STATION VIA GLENFIELD,95C,BUS,15707.9231303493
63990,9703,RTH,BEACH HAVEN TO BRITOMART (LOWER ALBERT ST),97R,BUS,17392.4227258934
63991,9704,RTH,BRITOMART (QUAY ST) TO BEACH HAVEN,97R,BUS,10581.7561530081
63992,9705,RTH,BEACH HAVEN TO BRITOMART (LOWER ALBERT) VIA HIGHBURY BYPASS,97R,BUS,17074.1857679261
63993,9706,RTH,BRITOMART (QUAY ST) TO BEACH HAVEN VIA RANGATIRA RD,97R,BUS,17118.4870982569
63994,9708,RTH,BRITOMART (QUAY ST) TO BEACH HAVEN VIA HIGHBURY & RANGATIRA,97R,BUS,16820.0653683353
63995,9710,RTH,BRITOMART (QUAY ST) TO BEACH HAVEN VIA RANGATIRA RD (L),97R,BUS,17118.4870982569
63996,9711,RTH,BEACH HAVEN TO BRITOMART (LOWER ALBERT ST),97B,BUS,17383.7658749412
63997,9712,RTH,BRITOMART (QUAY ST) TO VERRANS CORNER,97B,BUS,10581.7561530081
63998,9713,RTH,BEACH HAVEN TO BRITOMART (LOWER ALBERT) VIA HIGHBURY BYPASS,97B,BUS,17065.5289169738
63999,9714,RTH,BRITOMART (QUAY ST) TO BEACH HAVEN VIA BIRKDALE RD,97B,BUS,17116.4879055457
64000,9716,RTH,BRITOMART (QUAY ST) TO BEACH HAVEN VIA HIGHBURY BYPASS,97B,BUS,16818.0661756241
64001,10018,GBT,"CITY TO OTARA VIA MANUKAU RD, ONEHUNGA, MANGERE, PAPATOETOE",N10,BUS,27246.6879473222
64002,10101,NZB,PT CHEVALIER TO AUCKLAND UNIVERSITY VIA JERVOIS RD,101,BUS,8959.86924143372
64003,10101,NZB,PT CHEVALIER TO AUCKLAND UNIVERSITY VIA JERVOIS RD,101,BUS,8942.63636515762
64004,10102,NZB,AUCKLAND UNIVERSITY TO PT CHEVALIER VIA JERVOIS RD,101,BUS,8930.61739216949
64005,10102,NZB,AUCKLAND UNIVERSITY TO PT CHEVALIER VIA JERVOIS RD,101,BUS,8919.4827308201
64006,10501,NZB,WESTMERE TO BRITOMART VIA RICHMOND RD,105,BUS,8168.44731048608
64007,10502,NZB,BRITOMART TO WESTMERE VIA RICHMOND RD,105,BUS,8435.37845851034
64008,10601,NZB,FREEMANS BAY LOOP,106,BUS,5424.06260367302
64009,11101,PC,ROYAL HEIGHTS LOOP,111,BUS,8208.44805580776
64010,11110,ATMB,BRITOMART TO SWANSON WESTERN RAIL BUS,RBW,BUS,32641.1059196744
64011,11111,ATMB,SWANSON TO BRITOMART WESTERN RAIL BUS,RBW,BUS,32319.8857824808
64012,11118,ATMB,HENDERSON TO SWANSON WESTERN RAIL BUS,RBW,BUS,7131.7312416424
64013,11130,ATMB,KINGSLAND TO SWANSON WESTERN RAIL BUS,RBW,BUS,25006.7216098019
64014,11137,ATMB,SWANSON TO KINGSLAND WESTERN RAIL BUS,RBW,BUS,24747.6219068569
